District,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Percentage of Population with Comorbidities Risk in the Household,Average Total Risk Score
Dhule,3.564988337,2.659279032,0.12740004,1.843641878,0.457576623,8.880021502
Dumka,4.671011803,5,0.669155165,4.583155877,0.397481882,12.25416768
East,3.056623479,1.751895771,0.024282186,1.739842893,0.383101039,7.572924537
East Nimar,3.252489032,3.483701001,0.277036,2.297128786,0.412699844,8.549617818
Erode,2.221341187,3.289743673,0.130559501,1.756505275,0.427075217,7.004806136
Etah,4.627249853,2.869216461,0.379016925,2.792206715,0.369306115,10.01250239
Etawah,4.425599167,2.764192055,0.313719831,2.706153603,0.4115788,10.19249213
Faizabad,4.157450465,3.409409652,0.384776761,3.657395645,0.463896433,11.38602996
Faridabad,3.295762354,1.949943715,0.091522009,2.630681269,0.445784967,9.156682306
Farrukhabad,4.583243911,3.241765912,0.414065276,2.76795767,0.382719825,10.12443868
Fatehpur,4.204268234,3.851654063,0.473541372,3.68145424,0.354011087,10.28757004
Firozabad,4.413540744,2.331975987,0.259395312,2.689980318,0.349884817,9.505197645
Gadag,3.665069496,2.93703896,0.079009514,1.692413731,0.428300705,8.537047176
Garhchiroli,2.851972089,3.626820447,0.210033249,4.008359893,0.364388802,9.407490143
Garhwa,3.865130473,5,0.506290451,4.527757364,0.3542283,10.72813103
Garhwal,3.239220317,2.185785465,0.372551511,1.866576185,0.43162297,8.324163451
Gautam Buddha Nagar,3.160526959,1.743934339,0.061456017,1.987427245,0.350161727,7.563673358
Gaya,4.125363032,3.50967066,0.473625369,3.286951491,0.400948022,10.32684577
Ghaziabad,3.360799791,1.792188761,0.100295617,2.096956485,0.366931974,8.048663826
Ghazipur,4.680680149,3.289102685,0.377910224,3.378520539,0.490561039,11.86777667
Giridih,4.547582601,4.865257666,0.517900413,4.743335341,0.366910495,11.93697767
Godda,4.693955454,4.572880396,0.573912222,2.782934573,0.397882747,10.46055405
Gonda,4.579169512,4.017309152,0.442430958,3.583400919,0.464954131,11.7294563
Gondiya,3.048832905,2.867964042,0.146480818,4.191885836,0.457924421,10.73754428
Gopalganj,4.060139699,3.741194763,0.404247777,3.207664745,0.462834209,10.84594366
Gorakhpur,4.101671477,2.926145087,0.308082539,2.546722408,0.483659937,10.35445007
Gulbarga,3.772383094,2.674076497,0.109102363,2.45932219,0.420127323,9.307027518
Gurgaon,2.998897947,1.319882815,0.079838815,2.135933042,0.336219563,7.314091787
Gwalior,3.050002746,2.240380918,0.214386513,2.640842305,0.397230219,8.583120949
Hamirpur,3.260232313,3.554207134,0.369054575,3.487371468,0.364374508,9.290041901
Hardoi,4.228949087,3.971564393,0.517803693,2.76459265,0.336205382,9.176294347
Hardwar,3.965281946,2.701357654,0.281431934,2.380267374,0.401196232,9.227575507
Hassan,2.489822272,2.13402734,0.038222117,1.563246347,0.480836986,7.768371568
Mahamaya Nagar,4.273253309,2.4586806,0.216635654,2.434343864,0.376449878,9.452063522
Haveri,2.946952842,2.756604606,0.047297626,1.754906259,0.424153822,7.827872694
Hingoli,3.810938662,2.76260304,0.165080971,3.465504031,0.522467347,11.33497741
Jalaun,3.315737738,3.407382051,0.318293404,4.019596507,0.380168987,10.06446873
Jalgaon,3.190378305,2.217700317,0.091680776,2.749069757,0.462568033,9.492782592
Jalna,3.821967211,2.551769558,0.130975623,2.978675949,0.486476834,10.592326
Jamui,4.583896097,4.352777425,0.533723288,3.315023329,0.378488481,10.62388626
Jaunpur,4.679134077,3.363115107,0.333808361,3.403547793,0.469916997,11.72091264
Jhajjar,2.89078799,1.546391419,0.067253175,1.37540301,0.489235934,8.183209936
Jhansi,3.284024452,2.618328157,0.221326158,2.850688248,0.34560156,8.488984164
Jyotiba Phule Nagar,3.813748294,2.356549091,0.287160572,2.918217945,0.418103994,9.81314913
Kaimur (bhabua),4.179044904,3.784665163,0.461906769,3.920500916,0.441144852,11.38851979
Uttar Bastar Kanker,3,4.459875451,0.242411614,4.241472649,0.35143263,9.589625646
Kannauj,4.704612369,3.29859938,0.425051578,3.012702949,0.379850726,10.4530018
Kannur,1.816288665,2.397132716,0.139623264,2.603362836,0.497540008,8.420285346
Kanpur Dehat,4.019351547,3.38375278,0.437666134,3.368550523,0.355254586,9.830963795
Kanpur Nagar,3.385570835,2.403217384,0.183207935,3.03387452,0.420251658,9.521376918
Kansiram Nagar,4.467873751,3.193827915,0.462147336,3.00466214,0.35969454,10.00992065
Karimnagar,2.804988475,3.369937438,0.370646268,1.747118867,0.37273622,7.358701021
Karnal,3.52501334,2.308252465,0.296337674,1.572033326,0.446389918,8.321268922
Kasaragod,2.297948327,1.521870172,0.063706192,1.911903225,0.491836089,8.12957617
Katihar,3.989159235,4.556147008,0.608609428,3.578099889,0.349134949,9.972262069
Kaushambi,4.40690344,3.191596676,0.373967434,3.249240293,0.360985463,10.1831585
Khagaria,4.806951887,4.44446182,0.569718902,3.304319362,0.391045772,11.00920129
Kheri,4.030377929,4.120735407,0.527777044,3.28676799,0.33665284,9.611756248
Kishanganj,4.046161939,4.612545035,0.614378904,3.814778497,0.339625915,10.14923168
Kodagu,2.02575898,2.073860565,0.072938589,1.710485984,0.535569002,7.901946482
Kodarma,4.280221674,4.658958904,0.493939504,3.286578359,0.421786796,10.58504482
Kolar,2.867309276,1.917100846,0.040191631,1.079140819,0.455151435,7.382835365
Kolhapur,2.787849079,1.8320493,0.047438876,2.497588745,0.512554462,9.246339574
Koppal,3.520468149,2.871644207,0.070563831,1.925168635,0.415776702,8.461081817
Krishnagiri,2.940268784,2.486310216,0.088088132,1.393492137,0.454849246,7.779378225
Kurnool,4.068615709,3.600061378,0.11122738,1.438219009,0.3844207,8.341991637
Kushinagar,3.957534071,3.841682492,0.45452065,3.75698476,0.447316896,11.03692457
Lakhisarai,4.298862329,3.723672742,0.467326649,2.541655816,0.407818734,9.794839575
Lalitpur,3.7910089,3.778632428,0.441354986,3.035983166,0.310183955,8.839106793
Latur,4.076377518,2.334632339,0.121309235,3.167743622,0.539878586,11.44551535
Lucknow,3.35415553,2.300859525,0.154398712,3.044139368,0.349680507,8.760534015
Madhepura,4.589498393,4.778248692,0.610245597,4.35375847,0.374371106,11.65918274
