LGA,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Average Communications Access Risk Score,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Ndokwa East,3.091091829,2.224417426,1.241839467,2.484435309,4.421535393,9.997062531
Ndokwa West,3.286861472,2.041280774,1.089399044,1.63211924,4.735805641,9.654786353
Okpe,3.736221172,2.05932389,1.106395652,1.487486389,4.828514947,10.05222251
Oshimili North,3.807054002,2.420783189,1.253488475,1.504930567,4.820352576,10.13233714
Oshimili South,3.916244311,1.590491462,1.052429212,1.922663284,4.90157334,10.74048094
Patani,3.654516431,2.784178071,1.133471967,2.941886184,4.830048497,11.42645111
Sapele,3.762506509,1.642307978,1.058470887,1.881352185,4.97755556,10.62141425
Udu,3.998468226,1.227312597,1,1.061290653,5,10.05975888
Ughelli North,3.762162271,1.806791698,1.028731315,1.475515466,4.882952526,10.12063026
Ughelli South,3.659104612,2.135556114,1.069622686,2.216787931,4.841395156,10.7172877
Ukwuani,3.550803251,1.952782715,1.054605683,1.310309301,4.804749762,9.665862315
Uvwie,3.946789435,1.054538972,1.000204022,1.007806307,4.99766328,9.952259023
Warri North,3.466520699,2.639080878,1.269256587,4.399023966,4.66710282,12.53264748
Warri South,3.79260822,1.649900692,1.075333676,2.115089166,4.985731387,10.89342877
Warri South-West,3.214683687,2.700548861,1.332157533,4.653585867,4.793306973,12.66157653
Akoko-Edo,4.060574923,3.305950881,1.133946471,1.165358921,4.689723195,9.915657039
Egor,3.999554903,1.122496608,1.00078169,1.003344565,5,10.00289947
Esan Central,3.847965772,2.665922674,1.080631175,1.246248981,4.960183266,10.05439802
Esan North-East,3.946949302,2.451804253,1.22535022,1.3680094,4.863486869,10.17844557
Esan South-East,3.765236137,3.346283453,1.847211851,1.522467586,4.563413225,9.851116947
Esan West,3.767985247,2.572832731,1.180872184,1.319889364,4.85135448,9.939229091
Etsako Central,3.661332852,3.63858464,2.214632727,1.283467988,4.444706722,9.389507562
Etsako East,3.825543167,3.387837784,1.601698799,1.672814667,4.522686851,10.02104468
Etsako West,4.026733658,2.520665878,1.377012668,1.189701274,4.674525793,9.890960724
Iguegben,3.401143812,2.958689926,1.501420093,1.319949898,4.781921398,9.503015107
Ikpoba-Okha,3.9192471,1.773021288,1.085116428,1.288128166,4.912880243,10.12025551
Oredo,3.87243396,1.347645819,1.024452221,1.109035719,4.988343,9.969812679
Orhionmwon,3.440208743,3.053198438,1.661672507,1.670960395,4.506807084,9.617976222
Ovia North-East,3.652461328,2.805527902,1.314824916,2.376169948,4.506694691,10.53532597
Ovia South-West,3.633239123,3.598660861,1.323558485,3.493123907,4.147687766,11.2740508
Owan East,4.134036646,3.391214727,1.610689882,1.529395436,4.44846728,10.11189936
Owan West,4.260200697,3.305217291,1.573152094,1.433962786,4.608366834,10.30253032
Uhunmwonde,3.31297399,3.133680813,1.513687477,1.761296656,4.423169986,9.497440632
Aboh-Mbaise,4,2.093043855,1.035614772,1.008275201,5,10.0082752
Ahiazu-Mbaise,4,2,1,1,5,10
Ehime Mbano,3.987814613,2.255128685,1.000046182,1.019571371,5,10.00738598
Ezinihitte,4,2.030715814,1.002149269,1,5,10
Ideato North,3.977387423,2.058553194,1,1.023615178,5,10.0010026
Ideato South,4,2.010242076,1,1.011911455,5,10.01191146
Ihitte/Uboma,3.986045511,2.270844149,1.003879083,1.021110205,5,10.00715572
Ikeduru,4,2.06042897,1,1.0051655,5,10.0051655
Isiala Mbano,4,2.092743644,1.013023242,1.001909805,5,10.0019098
Isu,4,2.006540777,1,1.006540777,5,10.00654078
Mbaitoli,4,1.969305163,1,1.0036831,5,10.0036831
Ngor-Okpala,3.884844477,2.328621197,1.223163656,1.093392591,4.879869534,9.858106602
Njaba,3.9923684,2,1,1,5,9.9923684
Nkwerre,4,1.963222434,1,1,5,10
Nwangele,4,2,1,1,5,10
Obowo,4,2,1,1,5,10
Oguta,3.818215617,1.949682821,1.000932395,1.33898219,4.867808734,10.02500654
