LGA,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Average Communications Access Risk Score,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Irewole,3.784998198,2.530153241,1.005332783,2.203969546,4.915991168,10.90495891
Isokan,3.541619713,2.682318588,1.004046361,2.133494634,4.988203591,10.66331794
Iwo,3.898555235,2.188572884,1.051617551,3.036405164,4.901453667,11.83641407
Obokun,3.518688961,2.913097011,1.101449978,3.099924583,4.808036569,11.42665011
Odo Otin,3.81341913,2.613195229,1.005499456,2.534508624,4.859116011,11.20704377
Ola Oluwa,3.216249465,3.253860569,1.031650858,2.832512586,4.611142362,10.65990441
Olorunda,3.868973487,1.618410074,1.017481189,2.583987714,4.964868983,11.41783018
Oriade,3.959456942,2.775962056,1.00906717,1.984740397,4.832523653,10.77672099
Orolu,3.719536677,2.362723375,1,2.087258175,4.895739778,10.70253463
Osogbo,4,1.173032738,1,2.861522823,5,11.86152282
Ado-Ekiti,4.384779058,2.271019192,1.080489684,1.07412684,4.997061531,10.45596743
Efon,4.23901109,2.693220372,1.102701596,1.276466344,4.964552297,10.48002973
Ekiti East,4.316115599,2.386113593,1.080577704,1.001062867,4.920465663,10.23764413
Ekiti South-West,4.825373863,2.746653102,1.032709069,1.198729156,4.978689458,11.00279248
Ekiti West,4.345719195,2.758094954,1.019889275,1.38368359,4.997253912,10.7266567
Emure,4.8966887,2.852448549,1.023470003,1.070904795,4.901437203,10.8690307
Gbonyin,4.802186275,2.872582257,1.064318726,1.015080566,4.865238126,10.68250497
Ido-Osi,4.169810465,2.094938022,1.025186676,1,4.979758925,10.14956939
Ijero,4.077509245,2.560682268,1.066111951,1.595908786,4.982640898,10.65605893
Ikere,4.689630966,2.632592608,1.05642655,1.209496819,4.978527064,10.87765485
Ikole,4.277032774,3.005915787,1.255501543,1.262145524,4.591996354,10.13117465
Ilejemeje,4.160288832,2.467520648,1.079067527,1,4.943921519,10.10421035
Irepodun/Ifelodun,4.513878862,2.539023291,1.0122292,1,4.889025205,10.40290407
Ise/Orun,4.895915371,2.986491861,1.07596939,1.422732994,4.850400624,11.16904899
Moba,4.094568151,2.367334014,1.010872436,1,4.947181202,10.04174935
Oye,4.320218247,2.681550233,1.117321487,1.061074378,4.847632604,10.22892523
Abak,4.002701293,2.598097549,1.010155137,1.950976752,5,10.95367804
Eastern Obolo,4.03170125,2.936932963,1.37538129,3.240862545,4.996978385,12.26954218
Eket,4.013071781,1.704889125,1.005522044,1.694401889,4.998850302,10.70632397
Esit Eket,4.213863171,2.803214284,1.413499516,2.724152479,4.992133911,11.93014956
Essien Udim,4.005886164,2.725706773,1.008100123,1.94517767,5,10.95106383
Etim Ekpo,3.980962836,2.89442808,1.046690385,2.023188108,4.998423037,11.00257398
Etinan,4.26046786,2.797893683,1.1661064,2.038622793,4.999927386,11.29901804
Ibeno,3.981699648,2.111491938,1.117229267,2.905730403,4.936643432,11.82407348
Ibesikpo Asutan,4.088069805,2.15238972,1.073254391,2.010585562,5,11.09865537
Ibiono Ibom,3.94577728,2.75106565,1.067601519,2.225942444,4.978025217,11.14974494
Ika,3.994397132,2.79896198,1.048127067,1.940912917,4.999857004,10.93516705
Ikono,4.046899215,2.582627237,1.011369424,1.992631232,4.974311071,11.01384152
Ikot Abasi,3.994445664,2.868823013,1.34464353,2.129611332,4.956296059,11.08035306
Ikot Ekpene,3.975079366,1.907816023,1,1.979801301,5,10.95488067
Ini,3.484914201,2.978267286,1.344300209,1.778305087,4.685852186,9.949071473
Itu,4.010686041,2.160787538,1.046886085,1.992336247,4.975773156,10.97879544
Mbo,4.244111923,3.413973242,1.835568598,2.973641758,4.989286259,12.20703994
Mkpat Enin,4.32253297,3.030003244,1.499250529,2.086972541,4.996154206,11.40565972
Nsit Atai,4.669825224,3.020799238,1.514973975,2.150074196,5,11.81989942
Nsit Ibom,4.062008492,2.483196511,1.086187221,2.026746887,5,11.08875538
Nsit Ubium,4.644920442,2.977224612,1.18782785,2.014371585,5,11.65929203
Obot Akara,3.944501601,2.696471964,1.003896615,1.778672566,4.989888296,10.71306246
Okobo,4.371327767,3.290787732,1.787022108,2.501706063,4.994002139,11.86703597
Onna,4.047147119,2.834864605,1.123503055,2.056227978,5,11.1033751
Oron,4.081911385,2.655584422,1.202598538,1.839867636,5,10.92177902
Oruk Anam,4.081090128,3.020063358,1.561412162,2.296295235,4.981814322,11.35919968
Udung Uko,4.476589285,3.552022023,1.987498199,2.904274588,4.996522041,12.37738591
Ukanafun,4.00114317,2.952136609,1.193999364,2.1375501,4.995290016,11.13398329
Uruan,3.930224485,3.096206199,1.261024593,2.554313924,4.942326882,11.42686529
Urue Offong/Oruko,4.816736818,3.183302063,1.842472138,2.066830597,5,11.88356742
Uyo,4,1.437990695,1.004700461,1.860054373,4.998753913,10.85880829
Abakaliki,4.21139908,2.744525207,1.248264112,1,4.446319555,9.657718635
Afikpo North,4.125416062,2.854768575,1.025558576,1.034615389,4.989172337,10.14920379
Afikpo South,4.302512402,2.950173766,1.032179934,1.331829983,4.937521483,10.57186387
Ebonyi,4.253094385,2.665580231,1.394922327,1.039983175,4.180512364,9.473589925
Ezza North,4.901846696,3.972066826,1.726046785,1,4.882257008,10.7841037
Ezza South,4.650076847,3.764690519,1.265002913,1.011247073,4.83686715,10.49819107
Ikwo,4.023206384,3.897673644,1.330120559,1.07927074,4.678024206,9.78050133
Ishielu,4.702223662,3.777626136,1.629186864,1.30572539,4.332684988,10.34063404
Ivo,4.186768723,2.899209221,1.093895989,1.048738029,4.924862792,10.16036954
Izzi,4.427049222,3.994057796,1.824077765,1.07798457,3.947785226,9.452819018
Ohaozara,4.557061759,3.133164409,1.00313911,1.051170126,4.977765243,10.58599713
Ohaukwu,4.756920752,3.318248573,1.327994273,1.061486971,4.653157352,10.47156507
Onicha,4.658611283,3.407960873,1.01088724,1.040863223,4.924090303,10.62356481
Aninri,4.399694901,3.442105881,1.030022789,1.36180031,4.959638435,10.72113365
Awgu,4.060709508,2.880491147,1.010153286,2.246870719,4.987013104,11.29459333
Enugu East,3.997303372,2.01151183,1.059916116,2.237214488,4.975039792,11.20955765
Enugu North,3.951992766,1.191011073,1,2.666728252,5,11.61872102
Enugu South,3.822272432,1.426301757,1,1.829947614,5,10.65222005
Ezeagu,3.895250153,2.997558473,1.148872193,2.112465082,4.916199804,10.92391504
Igbo-Etiti,3.797499639,3.004423069,1.059943217,2.375216812,4.985039449,11.1577559
Igbo-Eze-North,4.00555907,2.850310651,1,2.144548683,4.999173658,11.14928141
Igbo-Eze-South,4.020779318,2.667215252,1,1.997731343,4.994706517,11.01321718
Isi-Uzo,4.03310582,3.429767551,1.55872144,1.676531738,4.603192212,10.31282977
Nkanu East,4.64124983,3.531285156,1.267802688,2.000874096,4.756095148,11.39821907
Nkanu West,4.082879531,2.224185346,1,2.327500144,4.999348996,11.40972867
Nsukka,3.914459623,2.482874323,1.006113407,2.07550488,4.97620325,10.96616775
Oji-River,3.845838048,2.777944151,1.046574353,1.66335708,4.975964333,10.48515946
Udenu,4.001724533,2.729925486,1.012963955,2.185106139,4.988953741,11.17578441
Udi,3.94297319,2.639663939,1.088751779,2.135648335,4.905987162,10.98460869
Uzo-Uwani,3.835682602,3.702393552,1.623911758,2.117958576,4.615781759,10.56942294
Aba North,4,1.081530977,1,2.023645937,5,11.02364594
Aba South,4,1.118624664,1,2.040534158,5,11.04053416
Arochukwu,3.650077737,2.744490754,1.148690447,1.639500673,4.896890685,10.18646909
Bende,3.624876132,2.737255502,1.322605906,1.39684157,4.923416842,9.945134544
Ikwuano,3.68192967,2.546464477,1.076865226,1.255037212,4.966277453,9.903244336
Isiala-Ngwa North,4,2.042192823,1.001259937,1.084661966,4.999788189,10.08445015
Isiala-Ngwa South,3.992444363,2.038727122,1.011346936,1.010711315,4.999132412,10.00228809
Isuikwuato,3.848911978,2.589496033,1.060720258,1.212747449,4.938658992,10.00031842
Obi Ngwa,3.971143784,1.977703968,1.010654084,1.841646408,4.97087274,10.78366293
Ohafia,3.881020202,2.569549798,1.069445717,1.593397996,4.965822377,10.44024057
Osisioma Ngwa,4,1.471934354,1.00020367,1.585227446,5,10.58522745
Ugwunagbo,3.995682163,2.151597287,1.012873999,1.909581213,4.995350125,10.9006135
Ukwa East,3.88909102,2.859490694,1.336455489,1.891469768,4.804591487,10.58515228
Ukwa West,3.972584623,1.759560441,1.004801271,1.789533359,4.974172968,10.73629095
Umu-Nneochi,4.150766679,2.835637198,1.026406028,1.239925799,4.979280901,10.36997338
Umuahia North,3.954046497,1.827158649,1.042270236,1.077905716,4.994083958,10.02603617
Umuahia South,3.994780573,1.869748239,1.003565232,1.18028933,5,10.1750699
Ado,4.293485569,3.924054494,1.900072874,1.788878983,3.989663288,10.07202784
Agatu,3.428467681,3.990040986,2.120755379,1.844085631,3.535155886,8.807709198
Apa,3.630950814,3.932986476,1.947903257,1.473148367,3.521286154,8.625385334
Bukuru,3.924011371,3.769184139,2.235430589,1.134925711,3.742571376,8.801508459
Gboko,3.693505004,2.770469789,1.61436478,1.089978478,4.197331209,8.980814691
Guma,3.536254844,4.008603261,2.857091082,1.602493486,2.960881187,8.099629518
Gwer East,3.582909948,3.793689834,1.872874138,1.384759899,3.463872732,8.431542579
Gwer West,3.746611874,3.74764,1.865619965,1.391496887,3.845203063,8.983311824
Katsina-Ala,3.848368503,3.978163229,2.295136263,1.47653089,3.287866685,8.612766079
Konshisha,4.170541126,3.964717906,2.084245435,1.344518927,4.094808407,9.60986846
Kwande,4.090588656,3.782090161,2.408147896,2.02789544,4.065092521,10.18357662
Logo,3.776260563,3.84683814,2.105205208,1.422016806,3.542852263,8.741129632
Markurdi,3.621087077,2.264670192,1.271845584,1.057214862,4.62444235,9.302744288
Obi,4.343032823,3.6283294,1.667900309,1.151507661,4.358999998,9.853540482
Ogbadibo,3.710107368,3.119442488,1.445848824,1.366825568,4.642807153,9.71974009
Ohimini,3.933403497,3.85734672,1.925810511,1.126011863,3.95974872,9.01916408
Oju,4.515187118,3.788221223,1.8500648,1.463265028,4.090883631,10.06933578
Okpokwu,3.916183103,3.507435461,1.7108682,1.057654251,4.495850759,9.469688112
Oturkpo,3.97223052,3.090200768,1.62776348,1.276050755,4.310461777,9.558743052
Tarka,4.084959,3.41039028,1.860991679,1.138042826,3.88106236,9.104064185
Ukum,3.80475726,3.516482044,1.933215497,1.175743363,3.819385361,8.799885983
Ushongo,4.039413115,3.779965335,2.255088092,1.266659785,3.798243847,9.104316747
Vandeikya,4.629240041,3.729078039,2.492247981,1.198759189,4.486834385,10.31483361
Abaji,3.348049541,3.538017762,2.755639419,1.718592569,3.728522743,8.795164854
Bwari,3.705524658,2.229239557,1.219516386,1.132482011,4.630682416,9.468689085
Gwagwalada,3.287654549,2.755382206,2.039235002,1.297627183,4.484533381,9.069815113
Kuje,3.298888509,3.313396352,2.028704939,1.648890683,4.055199676,9.002978868
Kwali,3.157967274,3.730015149,2.697228048,1.342304449,3.97273894,8.473010663
Municipal Area Council,3.787850528,1.526220374,1.056720966,1.011965559,4.921886427,9.721702514
Akwanga,3.0312562,3.03150779,1.841783686,1.147750614,3.870310933,8.049317747
Awe,3.741963469,4.013323676,3.937512596,2.097446442,2.630825143,8.470235054
Doma,3.266372902,3.82281383,2.790170103,1.869340535,2.875490599,8.011204036
Karu,3.356758526,2.807844915,1.850825241,1.22690879,3.820271574,8.40393889
Keana,3.640059413,3.91223733,2.979635735,1.383122899,2.897891042,7.921073353
Keffi,3.883834333,2.269621886,1.268990413,1.021648561,4.788718148,9.694201042
Kokona,3.229392232,3.439149399,2.381285147,1.475422042,2.999556903,7.704371177
Lafia,3.57125113,3.33507585,2.222879782,1.642811445,3.932813419,9.146875994
Nasarawa,3.249319995,3.677249252,2.770184907,2.128660921,2.56959045,7.947571366
Nasarawa Egon,3.137492364,3.58385957,2.225134416,1.597996894,3.977458535,8.712947794
Obi,3.649701841,3.87195378,2.756780479,1.261954464,3.598001049,8.509657355
Toto,3.105754307,3.589046543,2.314605477,2.050169032,3.145381123,8.301304463
Wamba,3.045252237,3.600034046,2.858255473,1.679538693,3.888840032,8.613630962
Barkin Ladi,3.134859614,3.729123001,2.365133977,1.1824686,4.572352097,8.88968031
Bassa,3.011721387,3.589203041,2.43482826,1.338225243,4.436627382,8.786574012
Bokkos,3.1611609,3.584562236,2.350674813,1.859416825,4.318771387,9.339349113
Jos East,3.028677603,3.956962084,3.107874997,1.713403996,4.19382684,8.935908439
Jos North,3.320614293,1.99697124,1.190019605,1.011981523,4.983794476,9.316390291
Jos South,2.995440501,2.376642562,1.453229194,1.022878886,4.9689785,8.987297887
Kanam,3.675520601,4.449605212,4.246718945,2.354760888,2.81440189,8.844683379
Kanke,3.922472965,4.102328026,3.250929095,1.846945507,3.344791487,9.114209958
Langtang North,4.209517871,4.143279985,3.397043372,1.432089008,3.744558692,9.386165571
Langtang South,3.782363345,4.472348692,4.204142222,1.905254977,2.942772059,8.630390381
Mangu,3.174447087,3.602413048,2.362380283,1.262555403,4.487762095,8.924764585
Mikang,3.951364602,4.612531705,4.035916756,1.838031215,3.540114359,9.329510176
Pankshin,3.115009391,3.941532228,2.988354808,1.642282602,4.063066049,8.820358042
Qua'An Pan,3.62349012,4.039208492,4.089411506,2.097762324,3.530873089,9.252125532
Riyom,3.154034144,3.822138874,2.524111486,1.537831763,4.434441031,9.126306938
Shendam,3.899780758,4.270918501,3.953362682,1.826274395,3.227881826,8.953936979
Wase,3.532211366,4.614537666,4.541695253,2.571477059,2.236830677,8.340519102
Ardo-Kola,3.607304757,4.715738405,4.573302309,2.515845335,2.776552504,8.899702595
Bali,3.116364992,4.257471929,4.190145195,2.81233927,3.042685569,8.971389832
Donga,3.755513784,3.959036468,3.071674183,1.521906594,3.283782306,8.561202684
Gashaka,2.793518483,4.093920311,4.029044276,2.481266822,3.839114104,9.113899409
Gassol,3.500337081,4.271005688,4.246386157,3.335761207,2.572876014,9.408974301
Ibi,3.290608942,4.242313859,4.188124728,2.877763322,2.745311169,8.913683433
Jalingo,3.994597388,2.861400582,1.368124603,1.087751028,4.830510674,9.912859089
Karim Lamido,2.962818915,4.846518543,4.785224289,2.999979145,2.630469732,8.593267792
Kurmi,3.374659684,3.875255792,3.425378068,3.349486676,4.07766995,10.80181631
Lau,3.275106228,4.809951466,3.772734323,2.214617899,3.118365182,8.608089309
Sardauna,3.156783081,4.00067525,3.474307618,2.583730592,3.96005674,9.700570414
Takum,3.974661574,3.762801636,2.554920345,1.593626616,3.859857289,9.428145478
Ussa,3.534402958,3.977377239,3.073017914,1.955396233,3.796422646,9.286221836
Wukari,3.751856066,3.66872989,3.057097993,1.685601725,3.100388934,8.537846724
Yorro,3.621702051,3.899562305,2.531924355,1.722770621,4.318225464,9.662698136
Zing,3.678786219,4.260493049,3.389758516,1.841491405,3.797452666,9.31773029
Alkaleri,3.081979442,4.795194593,3.994956257,2.676757449,2.531549841,8.290286733
Bauchi,3.692850397,3.685629689,1.92140148,1.510942311,3.864385349,9.068178057
Bogoro,3.93013237,4.014692315,2.896634493,1.779156905,3.358775613,9.068064888
Damban,3.914947012,4.890120916,4.107901518,1.305643888,3.158101687,8.378692588
Darazo,3.578247468,4.850470756,4.156526433,1.583346853,3.041368341,8.202962662
Dass,3.635513108,4.143438974,2.498809313,1.542463034,3.929032328,9.107008471
Gamawa,3.557263975,4.936437065,4.285023593,1.746673363,2.708506597,8.012443935
Ganjuwa,3.253202012,4.817148015,3.54232785,2.489565892,2.26851932,8.011287224
Giade,3.939228399,4.893312538,3.680012912,1.011865027,3.897344185,8.848437612
Itas/Gadau,3.883031402,4.971411049,4.034248353,1.236003965,3.335185829,8.454221196
Jama'Are,3.977760277,4.396562657,2.74209462,1.000033754,3.924588077,8.902382108
Katagum,3.890876652,4.40850472,3.064825236,1.124701505,3.474496433,8.490074589
Kirfi,3.108113003,4.881026268,3.958597304,2.067186923,2.330130393,7.505430318
Misau,3.691846673,4.780664656,3.637837641,1.157544304,3.728642167,8.578033144
Ningi,3.545375208,4.774591694,3.357365931,2.492138197,2.900954276,8.938467681
Shira,3.941590636,4.822190903,3.696197696,1.025529308,3.716760049,8.683879994
Tafawa-Balewa,3.741970044,4.286107835,2.790818425,1.946576526,3.195720398,8.884266968
Toro,3.506115994,4.181355466,2.952054661,2.615036469,3.384689865,9.505842328
Warji,3.835227873,4.543620988,3.043337243,1.30908907,3.705415562,8.849732505
Zaki,3.716816007,4.944475693,3.836438027,1.359401221,2.941185456,8.017402684
Demsa,3.228759185,4.496536022,2.798639997,1.867559211,3.192488768,8.288807164
Fufore,3.247075832,4.654391552,3.477300094,2.537889885,3.328136941,9.113102658
Ganye,2.975731061,4.07511079,3.840360627,2.508180921,3.968639259,9.45255124
Girei,3.699605154,3.7290215,2.041451231,1.465730458,4.338039217,9.503374829
Gombi,3.255300719,4.29031148,3.373230938,2.602246912,3.623317864,9.480865494
Guyuk,3.474256978,4.528433811,2.518889529,2.037377191,4.157906629,9.669540798
Hong,2.741353125,4.22934174,3.811611034,2.308072148,3.226886452,8.276311724
Jada,3.357781154,4.64766421,4.437676043,2.399747715,3.655919962,9.413448831
Larmurde,2.924268707,4.658730387,2.910872465,2.421071178,3.486061652,8.831401537
Madagali,3.719706322,4.338617768,3.378385874,1.656637597,4.473348399,9.849692318
Maiha,3.150994541,4.548189119,3.972275668,2.428770179,3.769407897,9.349172617
Mayo-Belwa,3.297321051,4.692791382,3.868588226,2.086353552,3.195604724,8.579279327
Michika,3.421207555,4.059977159,2.777731973,1.762165949,4.550198508,9.733572012
Mubi North,3.514862538,3.757256746,2.265872568,1.605506853,4.448075777,9.568445168
Mubi South,3.73260288,3.982069467,2.578940941,1.95664739,4.799784399,10.48903467
Numan,3.534409754,4.081225779,2.278586422,1.61740431,4.182345554,9.334159618
Shelleng,3.480261001,4.488009251,3.128957865,2.57829416,3.909667336,9.968222497
Song,3.072284014,4.480457719,3.796613227,2.694239422,3.193400475,8.959923911
Teungo,2.509708459,4.345857359,4.277003191,2.93924438,3.549133031,8.99808587
Yola North,3.850399636,3.253987952,1.765505972,1.124392619,4.638223557,9.613015813
Yola South,3.974251213,2.366919773,1.096255595,1.012869197,4.980089644,9.967210055
Akko,3.327531236,4.471433899,2.585561843,1.45829279,3.22993446,8.015758486
Balanga,2.921038757,4.745831652,2.934739819,1.893888161,3.710561785,8.525488704
Billiri,3.47674255,4.27413475,2.318122111,1.174785421,4.302890377,8.954418347
Dukku,3.063564235,4.823009537,4.309217409,2.100013033,2.032909555,7.196486823
Funakaye,3.626427383,4.592205506,2.78088287,1.328773027,3.575941418,8.531141829
Gombe,4,2.519380921,1.051911218,1,4.990269001,9.990269001
Kaltungo,3.23117154,4.478807665,2.806838531,1.650447625,3.859635251,8.741254416
Kwami,3.633022663,4.670036186,2.900200619,1.413300057,3.593434736,8.639757455
Nafada,3.32548799,4.86921713,3.835933072,1.960501958,2.416763315,7.702753262
Shongom,3.253113611,4.639614053,3.176043616,1.978166715,3.746404965,8.977685291
Yamaltu/Deba,3.751910791,4.308154708,2.37012627,1.197998584,4.240007175,9.18991655
Anka,3.633002742,4.94083969,4.619876704,3.475567617,2.632547568,9.741117927
Bakura,3.921685629,4.865722206,3.585691874,2.546304742,2.844765682,9.312756053
Birnin Magaji-Kiyaw,3.827433569,4.995826723,4.04256368,3.095250591,3.554131784,10.47681594
Bukkuyum,3.615308487,4.973331946,4.889930741,4.06469567,2.386709442,10.0667136
Bungudu,3.713179888,4.616890897,2.954734106,2.790414958,3.38223354,9.885828386
Gummi,3.948659944,4.813577212,4.616761813,3.59899848,2.79100485,10.33866327
Gusau,3.839231017,4.029235839,2.472317062,2.419887131,3.644616071,9.903734219
Kaura Namoda,3.973220745,4.558115229,3.076182626,3.061622225,4.196236968,11.23107994
Maradun,3.948380321,4.92163147,4.349367561,3.008664126,2.968860937,9.925905384
Maru,3.35816966,4.934696814,4.582429605,3.597376809,2.274850695,9.230397165
Shinkafi,4.005742148,4.863550987,4.146300584,2.59329757,3.616522651,10.21556237
Talata Mafara,3.811752832,4.817448469,3.667312818,2.520731636,3.30049421,9.632978678
Tsafe,3.802455537,4.860718925,2.698492022,2.710209322,3.001545509,9.514210368
Zurmi,3.928183431,4.926035056,4.138723373,3.227804079,2.851035636,10.00702315
Binji,4.585197992,4.947296958,4.149676023,2.269809898,3.405064061,10.26007195
Bodinga,4.04312722,4.72187536,3.197367431,2.549428521,4.237636609,10.83019235
Dange-Shuni,4.057096889,4.2487467,2.724644158,2.48197792,4.126536734,10.66561154
Gada,4.717580291,4.985186367,3.831170431,2.180301439,2.958386389,9.856268119
Goronyo,4.197031539,4.975535819,4.011940481,2.313067509,3.260990935,9.771089984
Gudu,4.385305976,5,4.966799421,3.53321647,1.466048313,9.384570759
Gwadabawa,4.157798501,4.885058613,3.427993458,1.939188624,3.819387755,9.91637488
Illela,4.507016403,4.590391423,3.352958677,2.04036472,3.794696654,10.34207778
Isa,4.085828926,4.917567615,4.321000749,2.815372099,2.884231335,9.78543236
Kebbe,4.001985865,4.929945431,4.351616519,3.483953029,2.99093249,10.47687138
Kware,4.001361716,4.147196418,2.559344271,1.531782963,4.460319037,9.993463715
Rabah,4.000267394,4.970039359,4.628523427,2.970231998,2.595256687,9.565756079
Sabon Birni,4.358528223,4.979810354,4.039213022,3.170871494,3.106412956,10.63581267
Shagari,4.107196113,4.98184459,4.140277425,3.292412992,3.273078727,10.67268783
Silame,4.086999782,4.998620549,3.968541149,2.174626378,3.511139276,9.772765436
Sokoto North,4,3.013170917,1.093902299,1.01300292,5,10.01300292
Sokoto South,4,3.046029529,1.398339796,1.335597387,5,10.33559739
Tambuwal,4.070726381,4.847682457,4.232939037,3.159839773,3.223149445,10.4537156
Tangaza,4.338932853,4.981921474,4.7401714,2.885204823,1.81687011,9.041007786
Tureta,4.452430508,4.870192146,4.332338769,3.602296772,2.504886875,10.55961415
Wamako,3.977069692,3.747241015,2.098519372,1.73625694,4.347810473,10.06113711
Wurno,4.059645496,4.71968503,3.251977052,1.855098837,4.31884881,10.23359314
Yabo,3.950778442,4.930201333,4.231632918,2.056197444,2.944649858,8.951625744
Aleiro,4.001512751,4.562837951,3.110398566,1.869423802,3.511826226,9.382762779
Arewa Dandi,4.14911209,4.970278508,4.705959794,2.834433032,1.699049826,8.682594947
Argungu,4.105770513,4.618948946,3.163140503,2.173151846,3.84136409,10.12028645
Augie,3.977285377,4.979620617,3.860020504,2.871427455,2.319846581,9.168559412
Bagudo,3.910015426,4.957083618,4.661502521,2.60229417,2.560416621,9.072726217
Birnin Kebbi,4.089146292,4.071002732,2.693366795,1.880885591,4.261804222,10.23183611
Bunza,4.178449869,4.688219597,3.44601287,2.070298406,3.511523407,9.760271682
Dandi,4.123352428,4.651799097,3.786461617,2.643887369,2.699679091,9.466918887
Fakai,3.613872617,4.8926941,4.687222435,3.005447847,2.550186405,9.169506869
Gwandu,4.084460455,4.806626737,3.57920005,2.37580936,3.227413389,9.687683204
Jega,4.126033047,4.469859735,3.441625545,2.48280249,3.811866799,10.42070234
Kalgo,4.101114252,4.789607316,3.475137384,2.387011723,3.349756858,9.837882833
Koko-Besse,3.903090601,4.678004298,4.269366206,2.584143437,2.918602747,9.405836785
Maiyama,4.019052228,4.868418463,3.94820634,2.545717088,3.080730987,9.645500304
Ngaski,3.645309349,4.869314044,3.534842086,1.572311807,3.165656282,8.383277438
Sakaba,3.296886357,4.806596214,4.572444178,2.746902679,2.895154802,8.938943838
Shanga,3.730183575,4.978885796,4.08025211,2.297264156,3.112215323,9.139663054
Suru,4.012121197,4.919353144,4.191294403,2.698559708,3.046242053,9.756922958
Wasagu-Danko,3.401759972,4.830506923,4.390160018,2.643283288,3.020218021,9.065261281
Yauri,3.983625702,3.93120891,2.193044592,1.113875947,4.418389233,9.515890881
Zuru,3.797981873,4.133971112,3.413820972,1.70923556,4.183912927,9.691130361
Barde,4.047223244,4.750660315,4.203534408,2.572452953,3.462371541,10.08204774
Borsari,3.685351608,4.999631829,4.942851288,2.981079244,1.632538045,8.298968897
Damaturu,3.720128611,3.974341565,3.096015545,2.713079238,3.239872657,9.673080506
Fika,3.448261579,4.927151751,4.290385515,2.138405152,2.546068228,8.132734959
Fune,3.666232437,4.918031247,4.589078645,2.920451725,2.414667158,9.00135132
Geidam,3.682180208,4.926819843,4.923186778,3.605881543,1.876326759,9.164388511
Gujba,3.354959634,4.836254767,4.82278641,2.411401644,2.323669968,8.090031246
Gulani,3.214717502,4.993628267,4.521934867,2.636139171,2.752333167,8.60318984
Jakusko,3.653370643,5,4.770636652,3.2163054,2.232880048,9.102556092
Karasuwa,4.07303757,4.998471985,4.733189181,2.293981429,2.07765041,8.44466941
Machina,3.969129802,4.99597692,4.921562909,3.185729496,1.701206042,8.85606534
Nangere,3.480658565,4.952623917,4.445404836,1.669012841,2.172419523,7.322090929
Nguru,4.063588759,4.422095593,3.362632945,1.448315755,3.75218503,9.264089545
Potiskum,3.978114827,3.7414553,2.09370866,1.153436517,4.542020868,9.673572212
Tarmua,3.503885262,5,4.850380116,3.938563524,1.687699997,9.130148782
Yunusari,3.84431904,4.993398476,4.992729829,3.530268111,1.69569731,9.070284461
Yusufari,3.842461435,5,4.983855874,3.704576385,1.421106922,8.968144742
Auyo,3.924884949,4.792187522,3.402256838,1.201410997,4.225873619,9.352169566
Babura,3.993823818,4.90986538,3.366300958,1.108454442,3.697625752,8.799904011
Biriniwa,3.987052175,4.966934883,4.491609232,2.160074926,2.170050145,8.317177246
Birnin Kudu,3.866238886,4.702740928,3.314777443,1.361208194,3.963259537,9.190706618
Buji,3.880753037,4.965736409,4.264446028,1.236206971,3.325458118,8.442418125
Dutse,3.947378437,4.32443446,2.824328865,1.088890491,4.015544364,9.051813291
Gagarawa,3.808752837,4.934534374,4.206665481,1.035416817,2.614587545,7.458757199
Garki,3.83509386,4.910524253,3.688349485,1.313491161,2.929182708,8.07776773
Gumel,3.999395728,4.321182394,2.945323987,1,4.356551477,9.355947204
Guri,3.646489664,4.90650862,4.128750085,2.311802714,2.831710585,8.790002963
Gwaram,3.599559107,4.781450997,3.655476473,1.322412913,3.321016421,8.242988441
Gwiwa,3.953696078,4.686825021,3.669750158,1.045383344,3.609590485,8.608669907
Hadejia,4,3.117286287,1.582584221,1,4.999120342,9.999120342
Jahun,3.871009127,4.760680325,3.603677729,1.272758404,3.791963817,8.935731348
Kafin Hausa,3.853741608,4.870640699,3.91829916,1.14716579,3.701988534,8.702895933
Kaugama,3.864148744,4.954112378,4.150157998,1.139648137,3.215650013,8.219446894
Kazaure,3.994109947,4.388055051,2.787673015,1.006281794,4.224749922,9.225141663
Kiri Kasama,3.889371588,4.894069759,3.42627609,1.280820623,3.860577834,9.030770045
Kiyawa,3.872982185,4.609177576,3.253205131,1.156853837,3.638282553,8.668118576
Maigatari,3.993566781,4.867995509,4.339971803,1.253737802,3.169139463,8.416444046
Malam Maduri,3.851693873,4.55308104,3.427220851,1.131906394,3.711515905,8.695116172
Miga,3.90045755,5,3.874767719,1.142752408,3.682527794,8.725737752
Ringim,3.952002977,4.742013409,3.328908228,1.095664482,3.933898795,8.981566253
Roni,3.999647525,4.787261515,3.558024709,1.01859867,4.193080286,9.211326481
Sule Tankakar,3.730004831,5,4.148469142,1.239176791,2.576967086,7.546148707
Taura,3.876018111,4.876943134,3.674129338,1.261241614,3.704487212,8.841746936
Yankwashi,3.980199769,4.754052205,3.649545963,1.008099539,3.652602766,8.640902074
Ajingi,3.949250919,4.858466914,3.579425118,1.000696638,3.832324538,8.782272095
Albasu,3.996966006,4.891039188,3.372032139,1.018039843,4.325249574,9.340255423
Bagwai,3.999413927,4.596481002,2.818369721,1.007142656,4.473100174,9.479656756
