Sub-county,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Kesses,1.832573291,2.76218701,0.067583939,2.508392208,4.13704756,8.478013059
Lamu East,1.322229101,4.914480505,0.323651256,4.439211416,3.91161618,9.673056697
Kabete,2.957865706,1.038321381,0.023326902,1.821469883,5,9.779335589
Konoin,2.185142358,2.367618207,0.06925982,1.421894379,4.752161523,8.35919826
Rangwe,2.214290782,3.795970338,0.112749364,1.539558041,4.177947738,7.931796561
Dagoretti South,2.992426145,1.160817261,0.022363499,2.183050568,5,10.17547671
Pokot South,1.642269124,4.096563093,0.203721082,4.864119908,3.276867732,9.783256765
Shinyalu,2.729655519,3.480974997,0.112586033,1.559145966,4.974777107,9.263578591
Kitutu Chache South,2.790909331,2.442885504,0.129120645,1.75430403,4.991700367,9.536913728
Jomvu,3.224675877,1.225538767,0.095298232,2.048169255,4.996379908,10.26922504
Kirinyaga Central,1.9049743,2.000386081,0.053371796,1.774662138,4.998621962,8.678258401
Emuhaya,2.941960492,3.486592053,0.083626392,1.779263672,5,9.721224164
Kibish,2.653589565,5,0.885360373,5,1.028844324,8.682433889
Bomet Central,2.262949243,2.685659427,0.098349108,2.311297607,4.916349719,9.490596569
Narok South,1.78858144,4.274227944,0.167930468,4.022129273,3.812692365,9.623403078
Marakwet East Sub-County,1.15510886,4.151156303,0.250358445,4.376875192,4.081401982,9.613386034
Ugenya,2.139429343,3.958628952,0.103452201,2.243881939,4.852071656,9.235382938
Kandara,1.660191263,2.20705857,0.051411079,2.102994647,5,8.76318591
Kajiado East,2.166309629,2.976641707,0.173494721,1.902231605,3.809909608,7.878450843
Kangundo,2.116426363,2.177550692,0.059881971,1.74865215,4.990881393,8.855959906
Turkana West,3.133575893,4.932137951,0.744078795,4.757357721,2.049422588,9.940356203
Imenti Central,1.610257335,2.04579247,0.062398087,3.334152799,4.975374962,9.919785097
Narok North,1.44821631,3.979249281,0.084020093,3.373914502,3.442742693,8.264873504
Bomachoge Chache,2.652951407,3.275951273,0.175939079,3.076847987,4.993815313,10.72361471
Laikipia East,1.813883394,2.310857742,0.056977013,2.675444628,4.485264199,8.974592221
Tongaren,2.615376937,3.722677974,0.098466474,1.687710137,4.715054345,9.018141419
